name|type|description|prerequisites|prerequisite_feats|benefit|normal|special|source|teamwork|critical|grit|style|performance|racial|companion_familiar|race_name|note|goal|completion_benefit|multiples|suggested_traits
Combat Distraction|General|Anyone who attacks you while you act like a lunatic exposes themselves to brutal counterattacks from your allies.|Goblin, Acrobatics 1 rank, Escape Artist 1 rank.||As a full-round action, you can choose to do something that seems to serve no useful purpose. Example actions could include laughing at another creature's misfortune, rooting in your pockets for a snack, bending over to pick up what looks like a weird bug, or trying to fly into the air by flapping your arms like a sea gull.Although you're acting like a lunatic, your unpredictable actions are distracting. Any creature other than a goblin within 5 feet of you takes a -2 penalty on Perception checks and concentration checks for as long as you continue to be a distraction and remain in range. This penalty stacks with other goblins performing combat distractions, as long as you're both adjacent to the distracted target.|||Goblins Of Golarion|0|0|0|0|0|1|0|Goblin||||0|
Combat Expertise|Combat|You can increase your defense at the expense of your accuracy.|Int 13.||You can choose to take a -1 penalty on melee attack rolls and combat maneuver checks to gain a +1 dodge bonus to your Armor Class. When your base attack bonus reaches +4, and every +4 thereafter, the penalty increases by -1 and the dodge bonus increases by +1. You can only choose to use this feat when you declare that you are making an attack or a full-attack action with a melee weapon. The effects of this feat last until your next turn.|||PFRPG Core|0|0|0|0|0|0|0|||||0|
Combat Expertise|Mythic|You can dart out of the way of attacks with skill and defiance.|Combat Expertise.|Combat Expertise|Whenever you use Combat Expertise, you gain an additional +2 dodge bonus to your Armor Class. You can expend one use of mythic power to negate the penalties on melee attack rolls and combat maneuver checks caused by using Combat Expertise for 1 minute.|||Mythic Adventures|0|0|0|0|0|0|0|||||0|
Combat Medic|General|You know the urgency of treating wounds in the heat of battle, applying first aid to your allies with such speed that you assure no one gets left behind.|Heal 5 ranks.||Whenever you use Heal to provide first aid, treat caltrop wounds, or treat poison on an ally who also has this feat, you provoke no attacks of opportunity, and can take 10 on the check. Unlike with other teamwork feats, allies that are paralyzed, stunned, unconscious, or cannot otherwise act still count for the purposes of this feet.|||Ultimate Combat|1|0|0|0|0|0|0|||||0|
Combat Meditation|Combat|Quick momentary meditation allows you to gain insight in combat.|Wis 13, Meditation Master, character level 5th.|Meditation Master|You can meditate as a full-round action. If you do, you gain all the benefits of your meditation feats, but they last for only 1 round per character level. Combat meditation allows you to expend the +1 insight bonus granted from the Meditation Master feat to instead roll twice when attempting an ability check, attack roll, saving throw, or skill check, taking the better of the two results. You must decide to use this ability before the initial roll is made. You may only use this alternate ability in place of bonuses granted by the Meditation Master feat. You can perform combat meditation a number of times per day equal to your Wisdom modifier.|||Faiths & Philosophies|0|0|0|0|0|0|0|||||0|
Combat Patrol|Combat|You range across the battlefield, dealing with threats wherever they arise.|Combat Reflexes, Mobility, base attack bonus +5.|Combat Reflexes, Mobility|As a full-round action, you may set up a combat patrol, increasing your threatened area by 5 feet for every 5 points of your base attack bonus. Until the beginning of your next turn, you may make attacks of opportunity against any opponent in this threatened area that provokes attacks of opportunity. You may move as part of these attacks, provided your total movement before your next turn does not exceed your speed. Any movement you make provokes attacks of opportunity as normal.|||Advanced Player's Guide|0|0|0|0|0|0|0|||||0|
Combat Reflexes|Combat|You can make additional attacks of opportunity.|||You may make a number of additional attacks of opportunity per round equal to your Dexterity bonus. With this feat, you may also make attacks of opportunity while flat-footed.|A character without this feat can make only one attack of opportunity per round and can't make attacks of opportunity while flat-footed.|The Combat Reflexes feat does not allow a rogue to use her opportunist ability more than once per round.|PFRPG Core|0|0|0|0|0|0|0|||||0|
Combat Reflexes|Mythic|You strike viciously whenever your foe gives you an opening.|Combat Reflexes.|Combat Reflexes|You can make any number of additional attacks of opportunity per round. As a swift action, you can expend one use of mythic power to, until the start of your next turn, make attacks of opportunity against foes you've already made attacks of opportunity against this round if they provoke attacks of opportunity from you by moving.|||Mythic Adventures|0|0|0|0|0|0|0|||||0|
Combat Style Master|Combat|You shift between combat styles, combining them to increased effect.|Improved Unarmed Strike, two or more style feats, base attack bonus +6 or monk level 5th.|Improved Unarmed Strike|You can switch your style as a free action. At the start of combat, pick one of your styles. You start the combat in that style, even in the surprise round.|It takes a swift action to begin or switch your styles.||Ultimate Combat|0|0|0|0|0|0|0|||||0|
Command Undead|General|Using foul powers of necromancy, you can command undead creatures, making them into your servants.|Channel negative energy class feature.||As a standard action, you can use one of your uses of channel negative energy to enslave undead within 30 feet. Undead receive a Will save to negate the effect. The DC for this Will save is equal to 10 + 1/2 your cleric level + your Charisma modifier. Undead that fail their saves fall under your control, obeying your commands to the best of their ability, as if under the effects of control undead. Intelligent undead receive a new saving throw each day to resist your command. You can control any number of undead, so long as their total Hit Dice do not exceed your cleric level. If you use channel energy in this way, it has no other effect (it does not heal or harm nearby creatures). If an undead creature is under the control of another creature, you must make an opposed Charisma check whenever your orders conf lict.|||PFRPG Core|0|0|0|0|0|0|0|||||0|
Command Undead|Mythic|Your control of the undead is nearly absolute.|Command Undead.|Command Undead|When you command undead, the DC of the Will save increases by half your tier, and intelligent undead get no additional saves beyond their first to resist your commands. Any attempts by non-mythic creatures to control undead you command automatically fail, and you gain a +4 bonus on Charisma checks to prevent mythic creatures from stealing control of your undead.|||Mythic Adventures|0|0|0|0|0|0|0|||||0|
Concussive Spell|Metamagic|You cause creatures to be disoriented when you affect them with a spell that has the sonic descriptor.|||With sonic damage comes a concussive wave of energy that rattles creatures affected by the spell. A concussive spell causes creatures that take damage from a spell that has the sonic descriptor to take a -2 penalty on attack rolls, saving throws, skill checks, and ability checks for a number of rounds equal to the actual spell level of the spell. A concussive spell only affects spells with the sonic descriptor. A concussive spell uses up a spell slot two levels higher than the spell's actual level.|||Ultimate Magic|0|0|0|0|0|0|0|||||0|
