name|type|category|requirement_race|requirement_subrace|requirement_class|requirement_alignment|requirement_other|requirement_faith|requirement_place|description|description_list|source
Foul Belch|Race||Goblin|||||||Once per day as a standard action, you can force a particularly odious belch at a single opponent within 5 feet. The character affected must make a DC 12 Fortitude save or be sickened for 1d6 rounds. The save DC is Constitution-based.||
Framed|Campaign|Curse of the Crimson Throne||||||||You gain a +2 bonus on Spellcraft checks.||
Free Spirit|Basic|Social||||||||You gain a +1 trait bonus on saving throws against language-dependent and effects with the sonic descriptor. In addition, the DC to Intimidate you increases by 2.||
Freed Slave|Race||Halfling|||||||You gain a +1 trait bonus on Diplomacy and Knowledge (nobility) checks and Knowledge (nobility) is always a class skill for you.||
Freed Slave|Regional|||||||||You gain a +1 trait bonus on Will saving throws.||
Freed Slave|Regional|||||||||You gain a +1 trait bonus on Will saves.||
Freedom Fighter|Race||Halfling|||||||You gain a +1 trait bonus on any skill check or attack roll made during the process of escaping capture or in helping a slave escape bondage, and Escape Artist is always a class skill for you.||
Freedom Fighter|Race||Halfling|||||||You gain a +1 trait bonus on Stealth checks and a +1 trait bonus on attack rolls made during the surprise round.||
Freedom Fighter|Regional|||||||||You gain a +1 trait bonus on attack and damage rolls against slavers or any creature holding someone against their will.||
Freedom Fighter|Regional|||||||||You gain a +1 trait bonus on attacks made with improvised weapons. If you do not possess the Catch Off-Guard or Throw Anything feats, you still take penalties on these attack rolls as normal.||
Friend in Every Town|Basic|Social||||||||You gain a +1 trait bonus on all Knowledge (local) checks and Diplomacy checks. One of these skills (your choice) is always a class skill for you.||
Friend of the Dead|Regional|||||||||You gain a +2 trait bonus on Diplomacy checks against sentient undead.||
Friend of the Family|Campaign|Jade Regent||||||||You have a close family friend. As long as your family friend remains alive, you gain a +1 trait bonus on Perception checks, and Perception becomes a class skill for you. In addition, you gain a +1 trait bonus on all attack rolls against foes that threaten your family friend.||
Friend of the Fey|Regional|||||||||You gain a +2 trait bonus on Diplomacy checks against fey creatures.||
Friendless|Race||Tiefling|||||||You can make Heal checks on yourself for the purposes of treating deadly wounds, diseases, and poisons.||
Friends in High Places|Basic|Social||||||||Whenever you are in an area in which you have used the Diplomacy skill to gather information, you gain a +1 trait bonus on Diplomacy and Intimidate checks. This bonus increases to +2 when dealing with government officials.||
Friends in Low Places|Basic|Social||||||||Diplomacy checks to gather information in lower quarters, such as vice dens and poorer districts, takes you 1d2 hours (instead of 1d4 hours). In addition, the attitudes of any destitute or impoverished NPCs you interact with begin one step closer to helpful.||
Frightening Speed|Religion|||||||Blood, death, assassination||Once per day during a combat encounter, you may move an additional 5 feet as a part of a move action without penalty.||
Frontier-Forged|Regional||||||||Frontier|You receive a +1 trait bonus on Perception checks and a +1 bonus on Survival checks made to get along in the wild.||
Frost Spitter|Race||Kobold|White-Scaled||||||Once per day, you can quickly exhale to produce a frigid cloud of dense fog that quickly sinks to the ground. This freezing mist covers a 10-foot-square area with slippery ice that's as difficult to traverse as an ice sheet.||
Frostborn|Regional||Dwarf|||||||You gain a +4 trait bonus on any savings throws made to resist the effects of cold environments, as well as a +1 trait bonus on all saving throws against cold effects.||
Fury|Religion|||||||Wrath, disaster, destruction||When wielding a greataxe, you receive a +2 trait bonus on attack rolls to confirm critical hits.||
Gallant Imposter|Regional|||||||||You gain a +1 trait bonus on Knowledge (nobility) and Knowledge (religion) checks. In addition, you gain a +2 trait bonus on both Disguise and Bluff checks while attempting to impersonate a knight.||
Garbage Picker|Regional|||||||||You gain a +3 trait bonus on Perception checks to search for concealed items.||
Genie Blood|Race||Human|||||||Select an element (air, earth, fire, or water). You gain a +1 trait bonus on saving throws against attacks that utilize that element (cold for air, acid for earth, fire for fire, and electricity for water), and gain a +1 trait bonus on Bluff, Diplomacy, Intimidate, and Sense Motive checks made against creatures of that subtype.||
Genie-Caller|Regional|||||||||Once per day, you may cast one conjuration (summoning) spell as if your caster level were 2 higher than normal.||
Get the Cargo Through|Campaign|Serpent's Skull||||||||Your character’s history as a merchant or mercenary has earned her a respectable living, and you begin the campaign with an additional 300 gp in starting wealth.||
Ghost Sight|Basic|Magic||||||||You receive a +2 trait bonus to Perception checks when trying to locate undead, and can attempt to locate ethereal undead (though they are still considered merely invisible, +20 to Stealth).||
Ghost Survivor|Regional|||||||||You gain a +2 trait bonus on Knowledge (religion) checks to identify incorporeal undead and a +2 trait bonus on Fortitude saving throws against effects that inflict negative levels.||Pathfinder Player Companion: Undead Slayer's Handbook
Ghoulish Affinity|Regional|||||||||You gain a +2 trait bonus on Perception checks to notice undead disguised as living creatures, and a +2 trait bonus on Fortitude saves against diseases and poisons inflicted by undead.||Pathfinder Player Companion: Undead Slayer's Handbook
Gifted Adept|Basic|Magic||||||||Pick a spell when you choose this trait—from this point on, whenever you cast that spell, its effects manifest at +1 caster level.||
Glib Barrister|Race|||||||||You gain a +2 trait bonus on Linguistics checks to create forgeries.||
Glory of Old|Regional||Dwarf|||||||You receive a +1 trait bonus on saving throws against spells, spell-like abilities, and poison.||
Gnoll Killer|Campaign|Legacy of Fire||||||||You gain a +1 trait bonus on attack rolls and weapon damage rolls made against gnolls. If you are a barbarian and you’re fighting gnolls, your rage lasts 1 round longer than normal. If you’re a ranger and you select humanoid (gnoll) as a favored enemy, your trait bonus on attack rolls and weapon damage rolls against gnolls increases to +2. If you’re a spellcaster, you gain a +1 trait bonus to spell save DCs for damaging spells against gnolls.||
Goblin Foolhardiness|Race||Goblin|||||||When facing an enemy that’s larger than you are, if you have no allies in any adjacent squares, your posturing, bravado, and cussing grant you a +1 trait bonus on attack rolls with non-reach melee weapons.||
Goblin Pirate|Regional|||||||||You gain a +1 trait bonus on Profession (sailor) and Swim checks, and Swim is always a class skill for you. You might also have a peg leg or a hook for a hand, but that’s not so helpful.||
God Scorn|Race||Tiefling|||||||You gain a +1 trait bonus on saving throws against divine spells.||
Golden Scales|Race||Kobold|Golden-Scaled||||||You take a –1 penalty on Bluff checks and Diplomacy checks when dealing with other kobolds, but a +2 bonus on Bluff checks and Diplomacy checks when dealing with non-reptilian humanoids.||
Goldfinger|Faction|||||||||You gain a +1 trait bonus on Disable Device and Sleight of Hand checks, and one of these skills (your choice) becomes a class skill for you.||
Goldsniffer|Race||Dwarf|||||||You gain a +2 trait bonus on Perception checks related to metals, jewels, and gemstones.||
Good Dreams|Religion||Halfling|||||Dreams, stars, travelers, luck||Each time you sleep, the GM tells you of a dangerous dream you had. Once per day, if you have to make a saving throw against a threat related or similar to that dream, you can roll twice and take the more favorable result. If you do not encounter circumstances similar to the threat or situation you dreamed, this trait has no effect that day. If you have the Halfling Jinx racial feature, you cannot select this trait, and vice versa.||
Good Influence|Race||Aasimar|||||||You gain a +1 trait bonus on Diplomacy checks when attempting to persuade a nongood creature to make a decision that benefits the cause of good, and when persuading a nonlawful creature to make a decision in line with the laws of the region. These bonuses stack if you attempt to persuade a nongood, nonlawful creature to take a lawful good action.||
